Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
1,1,1.06,0,0,0,0,0,0,0,0,1.06,0,0,0,66.8228386795193,-17.7461413900016,0
2,0,1,0,20,10,40,30,0,0,0,1.06101031379267,-1.27380567533197,20,10,40,30,0
3,0,1,0,45,15,0,0,0,0,0,1.03464471160065,-3.63726896320935,45,15,0,0,0
4,0,1,0,40,5,0,0,0,0,0,1.0344958598236,-3.83283096987662,40,5,0,0,0
1,1,1.08124562275866,0,0,0,0,0,0,0,0,1.08124562275866,0,0,0,69.0752130350238,25.994638753307,0
2,0,1,0,21,24,20,22,0,0,0,1.04185030135787,-3.76738261338067,21,24,20,22,0
3,0,1,0,30,22,0,0,0,0,0,1.03885666812446,-3.42447784116978,30,22,0,0,0
4,0,1,0,37,17,0,0,0,0,0,1.01335763765381,-6.69770692363564,37,17,0,0,0
1,1,1.04384343012569,0,0,0,0,0,0,0,0,1.04384343012569,0,0,0,39.8242019741137,-60.2562223150411,0
2,0,1,0,23,16,37,50,0,0,0,1.10914011222648,-3.83990189429955,23,16,37,50,0
3,0,1,0,32,9,0,0,0,0,0,1.09534367960434,-3.72923337638102,32,9,0,0,0
4,0,1,0,20,7,0,0,0,0,0,1.09775109700822,-4.26157291221457,20,7,0,0,0
1,1,1.05774520346648,0,0,0,0,0,0,0,0,1.05774520346648,0,0,0,64.3181456195771,-9.08230166095993,0
2,0,1,0,37,8,45,20,0,0,0,1.06499085778961,-5.68611502050718,37,8,45,20,0
3,0,1,0,32,13,0,0,0,0,0,1.04588506968892,-6.46296678289955,32,13,0,0,0
4,0,1,0,39,16,0,0,0,0,0,1.04450213151692,-7.10166957999501,39,16,0,0,0
1,1,1.00887268100858,0,0,0,0,0,0,0,0,1.00887268100858,0,0,0,60.3136007311579,-23.1209400408909,0
2,0,1,0,32,10,30,41,0,0,0,1.03324725681034,-4.65378838325916,32,10,30,41,0
3,0,1,0,23,8,0,0,0,0,0,1.01820219172927,-5.05389268522754,23,8,0,0,0
4,0,1,0,34,16,0,0,0,0,0,1.00227812329265,-5.85046556060411,34,16,0,0,0
1,1,1.05029818034996,0,0,0,0,0,0,0,0,1.05029818034996,0,0,0,58.950764487166,-12.4478868682489,0
2,0,1,0,20,7,36,37,0,0,0,1.07552284082817,-3.35059485182613,20,7,36,37,0
3,0,1,0,41,24,0,0,0,0,0,1.03436566420057,-4.7764032120839,41,24,0,0,0
4,0,1,0,33,21,0,0,0,0,0,1.02395843459772,-6.75117518179568,33,21,0,0,0
1,1,1.00279059000824,0,0,0,0,0,0,0,0,1.00279059000824,0,0,0,48.1146935549237,10.6237667096552,0
2,0,1,0,21,17,43,27,0,0,0,0.980110109071719,-2.71605693507212,21,17,43,27,0
3,0,1,0,32,25,0,0,0,0,0,0.964264684279522,-2.99027841749792,32,25,0,0,0
